,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
1738,CRP,30008412,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,2021.0,1,A,Estudante em abandono de curso                    ,F,36.0,69,"622,28",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,Privada,N,N,N,N,N
1744,CRP,30008437,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,D,Desligamento                                      ,F,32.0,0,"594,92",9,N,,,publica,N,N,N,N,N
1745,CRP,30008438,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,30.0,"39,8","502,28",5,N,b. Preto(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
1779,CRP,30008519,105,Sistemas de Informacao - Noturno,2019,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,23.0,64,"573,82",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
1879,CRP,30008828,105,Sistemas de Informacao - Noturno,2020,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,19.0,"87,3","633,18",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,Privada,N,N,N,N,N
1880,CRP,30008840,105,Sistemas de Informacao - Noturno,2020,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,19.0,"49,1","651,46",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
1881,CRP,30008846,105,Sistemas de Informacao - Noturno,2020,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,21.0,59,"589,48",3,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2035,CRP,30009270,105,Sistemas de Informacao - Noturno,2020,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,22.0,"10,7","498,14",1,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,S,N,N,N,N
2128,CRP,30009577,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,24.0,0,"645,16",9,N,,,Privada,N,N,N,N,N
2129,CRP,30009580,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,19.0,0,"637,18",9,N,,,Privada,N,N,N,N,N
