Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30006749,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,F,24,"65,7","532,04",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006750,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,1,A,Estudante em abandono de curso                    ,F,23,0,"470,78",1,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006752,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,2,D,Desligamento                                      ,F,24,"20,1","542,44",5,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006753,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,1,D,Desligamento                                      ,F,22,"42,3","537,52",5,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006755,111,Engenharia de Produção,2017,1,L,SISU - Sistema de Seleção Unificada               ,, ,N,Normal                                            ,F,28,"58,8","591,9",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006756,109,Ciências Contábeis,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,32,"74,8","576,76",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006760,111,Engenharia de Produção,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,1,C,Conclusão                                         ,F,28,77,"589,7",9,N,a. Branco(a).,e. Entre 7 e 10 Salários Mínimos.,Privada,S,N,N,N,N
CRP,30006765,111,Engenharia de Produção,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,0,A,Estudante em abandono de curso                    ,F,27,"40,7","620,24",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006765,111,Engenharia de Produção,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,0,A,Estudante em abandono de curso                    ,F,27,"40,7","620,24",9,N,a. Branco(a).,e. Entre 7 e 10 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006766,102,Administração - Noturno,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,D,Desligamento                                      ,F,30,"3,1","557,36",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006770,102,Administração - Noturno,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,C,Conclusão                                         ,F,25,"70,6","559,84",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006771,101,Administração - Integral,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,0,A,Estudante em abandono de curso                    ,F,25,"49,8","505,8",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006780,101,Administração - Integral,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,D,Desligamento                                      ,F,26,"52,8","436,52",1,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006783,101,Administração - Integral,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,1,D,Desligamento                                      ,F,30,0,509,1,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006786,103,Agronomia,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,24,"66,1","571,52",5,N,c. Pardo(a).,d. Entre 5 e 7 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006787,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,2,D,Desligamento                                      ,F,25,"30,1","506,42",7,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006789,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,F,25,75,"521,56",9,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006790,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,F,24,"66,4","534,38",9,N,b. Preto(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006791,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,2019,0,A,Estudante em abandono de curso                    ,F,28,"45,8","524,54",9,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006792,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,27,"65,7","498,04",5,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006793,107,Química,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,A,Estudante em abandono de curso                    ,F,32,"36,8","551,9",9,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006794,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,2,D,Desligamento                                      ,F,25,"26,2","417,52",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006796,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,26,"70,3","554,18",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006797,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,1,A,Estudante em abandono de curso                    ,F,25,"50,4","524,8",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006799,111,Engenharia de Produção,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,2,D,Desligamento                                      ,F,31,53,"598,1",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,S,N,N,N,N
